movie_ref,discogs_title_norm,tmdb_title_norm,discogs_year,tmdb_year,discogs_genre,tmdb_genre,discogs_style
12 Years a Slave,various 12 years slave,12 years slave,2013,2013,"Funk / Soul, Blues, Classical, Folk, World, & Country, Stage & Screen",,"Delta Blues, Soul, Rhythm & Blues, Electric Blues, Gospel, Folk, Classical"
12 Years a Slave,hans zimmer 12 years slave,12 years slave,2013,2013,Stage & Screen,,"Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,akira,2017,1988,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,akira,2017,2016,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,akira,2017,,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,akira,2017,2016,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,akira,2017,2025,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2022,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,akira hip hop shop,2017,2007,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2002,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2002,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2022,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,1988,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2022,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,akira project,2017,2014,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,1989,"Electronic, Stage & Screen",,"Soundtrack, Anison"
