movie_ref,discogs_title_norm,tmdb_title_norm,discogs_year,tmdb_year,discogs_genre,tmdb_genre,discogs_style,score
12 Years a Slave,various 12 years slave,12 years slave,2013,2013,"Funk / Soul, Blues, Classical, Folk, World, & Country, Stage & Screen",,"Delta Blues, Soul, Rhythm & Blues, Electric Blues, Gospel, Folk, Classical",90.0
12 Years a Slave,hans zimmer 12 years slave,12 years slave,2013,2013,Stage & Screen,,"Score, Soundtrack",90.0
12 Years a Slave,various 12 years slave,12 years slave,2013,2013,"Funk / Soul, Blues, Classical, Folk, World, & Country, Stage & Screen",,"Delta Blues, Soul, Rhythm & Blues, Electric Blues, Gospel, Folk, Classical",90.0
12 Years a Slave,hans zimmer 12 years slave,12 years slave,2013,2013,Stage & Screen,,"Score, Soundtrack",90.0
A Star Is Born 2018 ,lady gaga bradley cooper star is born,star is born,2018,2018,"Rock, Non-Music, Pop, Stage & Screen",,"Country Rock, Soundtrack, Hard Rock, Synth-pop, Pop Rock, Dialogue, Ballad, Vocal",90.0
A Star Is Born 2018 ,lady gaga bradley cooper star is born,star is born,2018,2018,"Rock, Non-Music, Pop, Stage & Screen",,"Country Rock, Soundtrack, Hard Rock, Synth-pop, Pop Rock, Dialogue, Ballad, Vocal",90.0
Akira,geinoh yamashirogumi akira,akira,2014,2016,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Akira,geinoh yamashirogumi akira,akira,2014,,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Akira,geinoh yamashirogumi akira,akira,2014,2016,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Akira,geinoh yamashirogumi akira,akira,2014,2016,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Akira,geinoh yamashirogumi akira,akira,2014,,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Akira,geinoh yamashirogumi akira,akira,2014,2016,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Alien,nostromo alien,alien,1979,1979,Electronic,,Disco,90.0
Alien,nostromo alien,alien,1979,,Electronic,,Disco,90.0
Alien,nostromo alien,alien,1979,1979,Electronic,,Disco,90.0
Alien,nostromo alien,alien,1979,,Electronic,,Disco,90.0
Am lie,yann tiersen amelie,amelie,,2021,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical",90.0
Am lie,yann tiersen amelie,amelie,,2021,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical",90.0
Apocalypse Now,carmine coppola francis coppola apocalypse now,apocalypse now,1979,1979,"Non-Music, Stage & Screen",,"Modern Classical, Ambient, Dialogue, Score",90.0
