movie_ref,tmdb_title_norm,discogs_title_norm,tmdb_year,discogs_year,tmdb_genre,discogs_genre,discogs_style
Ad Astra,ad astra,max richter lorne balfe nils frahm ad astra,2019,2019,"878, 18","Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2019,2019,"878, 18",Stage & Screen,"Score, Soundtrack"
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2019,2019,"878, 18",Stage & Screen,"Score, Soundtrack"
Ad Astra,ad astra,max richter lorne balfe nils frahm ad astra,2019,2019,"878, 18","Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2019,2019,"878, 18",Stage & Screen,"Score, Soundtrack"
Ad Astra,per aspera ad astra,max richter lorne balfe nils frahm ad astra,None,2019,"18, 878, 12","Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,None,2019,"18, 878, 12",Stage & Screen,"Score, Soundtrack"
Ad Astra,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,None,2019,"18, 878, 12",Stage & Screen,"Score, Soundtrack"
Ad Astra,per aspera ad astra,max richter lorne balfe nils frahm ad astra,None,2019,"18, 878, 12","Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,None,2019,"18, 878, 12",Stage & Screen,"Score, Soundtrack"
Ad Astra,ad astra,max richter lorne balfe nils frahm ad astra,2016,2019,,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2016,2019,,Stage & Screen,"Score, Soundtrack"
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2016,2019,,Stage & Screen,"Score, Soundtrack"
Ad Astra,ad astra,max richter lorne balfe nils frahm ad astra,2016,2019,,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2016,2019,,Stage & Screen,"Score, Soundtrack"
Ad Astra,ad astra,max richter lorne balfe nils frahm ad astra,2015,2019,99,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2015,2019,99,Stage & Screen,"Score, Soundtrack"
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2015,2019,99,Stage & Screen,"Score, Soundtrack"
Ad Astra,ad astra,max richter lorne balfe nils frahm ad astra,2015,2019,99,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2015,2019,99,Stage & Screen,"Score, Soundtrack"
Ad Astra,ad astra,max richter lorne balfe nils frahm ad astra,2018,2019,,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2018,2019,,Stage & Screen,"Score, Soundtrack"
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2018,2019,,Stage & Screen,"Score, Soundtrack"
Ad Astra,ad astra,max richter lorne balfe nils frahm ad astra,2018,2019,,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2018,2019,,Stage & Screen,"Score, Soundtrack"
Ad Astra,ad astra,max richter lorne balfe nils frahm ad astra,1983,2019,16,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,1983,2019,16,Stage & Screen,"Score, Soundtrack"
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,1983,2019,16,Stage & Screen,"Score, Soundtrack"
Ad Astra,ad astra,max richter lorne balfe nils frahm ad astra,1983,2019,16,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,1983,2019,16,Stage & Screen,"Score, Soundtrack"
Ad Astra,per aspera ad astra,max richter lorne balfe nils frahm ad astra,2019,2019,16,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2019,2019,16,Stage & Screen,"Score, Soundtrack"
Ad Astra,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2019,2019,16,Stage & Screen,"Score, Soundtrack"
Ad Astra,per aspera ad astra,max richter lorne balfe nils frahm ad astra,2019,2019,16,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2019,2019,16,Stage & Screen,"Score, Soundtrack"
Ad Astra,per aspera ad astra,max richter lorne balfe nils frahm ad astra,1969,2019,"35, 16","Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,1969,2019,"35, 16",Stage & Screen,"Score, Soundtrack"
Ad Astra,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,1969,2019,"35, 16",Stage & Screen,"Score, Soundtrack"
Ad Astra,per aspera ad astra,max richter lorne balfe nils frahm ad astra,1969,2019,"35, 16","Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,1969,2019,"35, 16",Stage & Screen,"Score, Soundtrack"
Ad Astra,death abstraction,max richter lorne balfe nils frahm ad astra,2023,2019,"16, 18","Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,death abstraction,max richter additional music by lorne balfe and nils frahm ad astra,2023,2019,"16, 18",Stage & Screen,"Score, Soundtrack"
Ad Astra,death abstraction,max richter additional music by lorne balfe and nils frahm ad astra,2023,2019,"16, 18",Stage & Screen,"Score, Soundtrack"
Ad Astra,death abstraction,max richter lorne balfe nils frahm ad astra,2023,2019,"16, 18","Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,death abstraction,max richter additional music by lorne balfe and nils frahm ad astra,2023,2019,"16, 18",Stage & Screen,"Score, Soundtrack"
Ad Astra,to the stars by hard ways,max richter lorne balfe nils frahm ad astra,1981,2019,878,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,to the stars by hard ways,max richter additional music by lorne balfe and nils frahm ad astra,1981,2019,878,Stage & Screen,"Score, Soundtrack"
Ad Astra,to the stars by hard ways,max richter additional music by lorne balfe and nils frahm ad astra,1981,2019,878,Stage & Screen,"Score, Soundtrack"
Ad Astra,to the stars by hard ways,max richter lorne balfe nils frahm ad astra,1981,2019,878,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient"
Ad Astra,to the stars by hard ways,max richter additional music by lorne balfe and nils frahm ad astra,1981,2019,878,Stage & Screen,"Score, Soundtrack"
A Star Is Born (2018),star is born,lady gaga bradley cooper star is born,2018,2018,"10402, 18, 10749","Rock, Non-Music, Pop, Stage & Screen","Country Rock, Soundtrack, Hard Rock, Synth-pop, Pop Rock, Dialogue, Ballad, Vocal"
A Star Is Born (2018),star is born,lady gaga bradley cooper star is born,2018,2018,"10402, 18, 10749","Rock, Non-Music, Pop, Stage & Screen","Country Rock, Soundtrack, Hard Rock, Synth-pop, Pop Rock, Dialogue, Ballad, Vocal"
A Star Is Born (2018),star is born,lady gaga bradley cooper star is born,2018,2018,"10402, 18, 10749","Rock, Non-Music, Pop, Stage & Screen","Southern Rock, Soundtrack, Hard Rock, Synth-pop, Pop Rock, Dialogue, Ballad, Vocal"
A Star Is Born (2018),star is born,lady gaga bradley cooper star is born,2018,2018,"10402, 18, 10749","Rock, Non-Music, Pop, Stage & Screen","Country Rock, Soundtrack, Hard Rock, Synth-pop, Pop Rock, Dialogue, Ballad, Vocal"
A Star Is Born (2018),star is born,lady gaga bradley cooper star is born,2018,2019,"10402, 18, 10749","Pop, Folk, World, & Country",Ballad
12 Years a Slave,12 years slave,hans zimmer 12 years slave,2013,2013,"18, 36",Stage & Screen,"Score, Soundtrack"
12 Years a Slave,12 years slave,various 12 years slave,2013,2013,"18, 36","Funk / Soul, Blues, Folk, World, & Country, Stage & Screen","Delta Blues, Soul, Rhythm & Blues, Electric Blues, Gospel, Folk, Soundtrack"
12 Years a Slave,12 years slave,nicholas britell free state of jones,2013,2016,"18, 36",Stage & Screen,"Soundtrack, Score"
Akira,akira,geinoh yamashirogumi akira,1988,1988,"16, 878, 28","Electronic, Stage & Screen","Soundtrack, Modern Classical, Avantgarde, Experimental"
