movie_ref,tmdb_title_norm,discogs_title_norm,tmdb_year,discogs_year,tmdb_genre,discogs_genre,discogs_style,hybrid_score
A Star Is Born (2018),star is born,lady gaga bradley cooper star is born,2018,2018,"10402, 18, 10749","Rock, Non-Music, Pop, Stage & Screen","Country Rock, Soundtrack, Hard Rock, Synth-pop, Pop Rock, Dialogue, Ballad, Vocal",64.29
A Star Is Born (2018),star is born,lady gaga bradley cooper star is born,2018,2018,"10402, 18, 10749","Rock, Non-Music, Pop, Stage & Screen","Country Rock, Soundtrack, Hard Rock, Synth-pop, Pop Rock, Dialogue, Ballad, Vocal",64.29
A Star Is Born (2018),star is born,lady gaga bradley cooper star is born,2018,2018,"10402, 18, 10749","Rock, Non-Music, Pop, Stage & Screen","Southern Rock, Soundtrack, Hard Rock, Synth-pop, Pop Rock, Dialogue, Ballad, Vocal",64.29
A Star Is Born (2018),star is born,lady gaga bradley cooper star is born,2018,2018,"10402, 18, 10749","Rock, Non-Music, Pop, Stage & Screen","Country Rock, Soundtrack, Hard Rock, Synth-pop, Pop Rock, Dialogue, Ballad, Vocal",64.29
A Star Is Born (2018),star is born,lady gaga bradley cooper star is born,2018,2019,"10402, 18, 10749","Pop, Folk, World, & Country",Ballad,64.29
12 Years a Slave,12 years slave,hans zimmer 12 years slave,2013,2013,"18, 36",Stage & Screen,"Score, Soundtrack",79.0
12 Years a Slave,12 years slave,various 12 years slave,2013,2013,"18, 36","Funk / Soul, Blues, Folk, World, & Country, Stage & Screen","Delta Blues, Soul, Rhythm & Blues, Electric Blues, Gospel, Folk, Soundtrack",84.44
1917,1917,thomas newman 1917,2019,2019,"10752, 36, 53",Stage & Screen,Soundtrack,55.45
1917,1917,thomas newman 1917,2019,2020,"10752, 36, 53",Stage & Screen,"Score, Soundtrack",55.45
1917,1917,thomas newman 1917,2019,2020,"10752, 36, 53",Stage & Screen,"Score, Soundtrack",55.45
1917,1917,thomas newman 1917,2019,2020,"10752, 36, 53",Stage & Screen,"Score, Soundtrack",55.45
1917,1917,thomas newman 1917,2019,2019,"10752, 36, 53",Stage & Screen,Soundtrack,55.45
1917,1917 the train from hell,thomas newman 1917,2019,2019,"99, 36",Stage & Screen,Soundtrack,44.24
1917,1917 the train from hell,thomas newman 1917,2019,2020,"99, 36",Stage & Screen,"Score, Soundtrack",44.24
1917,1917 the train from hell,thomas newman 1917,2019,2020,"99, 36",Stage & Screen,"Score, Soundtrack",44.24
1917,1917 the train from hell,thomas newman 1917,2019,2020,"99, 36",Stage & Screen,"Score, Soundtrack",44.24
1917,1917 the train from hell,thomas newman 1917,2019,2019,"99, 36",Stage & Screen,Soundtrack,44.24
1917,1917 the general strike,thomas newman 1917,2021,2020,99,Stage & Screen,"Score, Soundtrack",49.56
1917,1917 the general strike,thomas newman 1917,2021,2020,99,Stage & Screen,"Score, Soundtrack",49.56
1917,1917 the general strike,thomas newman 1917,2021,2020,99,Stage & Screen,"Score, Soundtrack",49.56
1917,unknown 1917,thomas newman 1917,2018,2019,99,Stage & Screen,Soundtrack,58.2
1917,unknown 1917,thomas newman 1917,2018,2019,99,Stage & Screen,Soundtrack,58.2
1917,allied forces making 1917,thomas newman 1917,2020,2019,99,Stage & Screen,Soundtrack,51.91
1917,allied forces making 1917,thomas newman 1917,2020,2020,99,Stage & Screen,"Score, Soundtrack",51.91
1917,allied forces making 1917,thomas newman 1917,2020,2020,99,Stage & Screen,"Score, Soundtrack",51.91
1917,allied forces making 1917,thomas newman 1917,2020,2020,99,Stage & Screen,"Score, Soundtrack",51.91
1917,allied forces making 1917,thomas newman 1917,2020,2019,99,Stage & Screen,Soundtrack,51.91
1917,1917 the real story,thomas newman 1917,2020,2019,99,Stage & Screen,Soundtrack,49.09
1917,1917 the real story,thomas newman 1917,2020,2020,99,Stage & Screen,"Score, Soundtrack",49.09
1917,1917 the real story,thomas newman 1917,2020,2020,99,Stage & Screen,"Score, Soundtrack",49.09
1917,1917 the real story,thomas newman 1917,2020,2020,99,Stage & Screen,"Score, Soundtrack",49.09
1917,1917 the real story,thomas newman 1917,2020,2019,99,Stage & Screen,Soundtrack,49.09
Ad Astra,ad astra,max richter lorne balfe nils frahm ad astra,2019,2019,"878, 18","Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient",51.96
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2019,2019,"878, 18",Stage & Screen,"Score, Soundtrack",44.93
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2019,2019,"878, 18",Stage & Screen,"Score, Soundtrack",44.93
Ad Astra,ad astra,max richter lorne balfe nils frahm ad astra,2019,2019,"878, 18","Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient",51.96
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2019,2019,"878, 18",Stage & Screen,"Score, Soundtrack",44.93
Ad Astra,per aspera ad astra,max richter lorne balfe nils frahm ad astra,,2019,"18, 878, 12","Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient",52.79
Ad Astra,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,,2019,"18, 878, 12",Stage & Screen,"Score, Soundtrack",43.97
Ad Astra,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,,2019,"18, 878, 12",Stage & Screen,"Score, Soundtrack",43.97
Ad Astra,per aspera ad astra,max richter lorne balfe nils frahm ad astra,,2019,"18, 878, 12","Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient",52.79
Ad Astra,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,,2019,"18, 878, 12",Stage & Screen,"Score, Soundtrack",43.97
Ad Astra,ad astra,max richter lorne balfe nils frahm ad astra,2018,2019,,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient",51.96
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2018,2019,,Stage & Screen,"Score, Soundtrack",44.93
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2018,2019,,Stage & Screen,"Score, Soundtrack",44.93
Ad Astra,ad astra,max richter lorne balfe nils frahm ad astra,2018,2019,,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient",51.96
Ad Astra,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2018,2019,,Stage & Screen,"Score, Soundtrack",44.93
Ad Astra,per aspera ad astra,max richter lorne balfe nils frahm ad astra,2019,2019,16,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient",52.79
Ad Astra,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2019,2019,16,Stage & Screen,"Score, Soundtrack",43.97
Ad Astra,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2019,2019,16,Stage & Screen,"Score, Soundtrack",43.97
Ad Astra,per aspera ad astra,max richter lorne balfe nils frahm ad astra,2019,2019,16,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Modern Classical, Ambient",52.79
Ad Astra,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2019,2019,16,Stage & Screen,"Score, Soundtrack",43.97
Akira,akira,geinoh yamashirogumi akira,1988,1988,"16, 878, 28","Electronic, Stage & Screen","Soundtrack, Modern Classical, Avantgarde, Experimental",52.58
Akira,akira,geinoh yamashirogumi akira,1988,1988,"16, 878, 28","Electronic, Stage & Screen","Soundtrack, Modern Classical, Avantgarde, Experimental",52.58
Akira,akira,geinoh yamashirogumi akira,,1988,"28, 18, 9648","Electronic, Stage & Screen","Soundtrack, Modern Classical, Avantgarde, Experimental",52.58
Akira,akira,geinoh yamashirogumi akira,,2014,"28, 18, 9648","Electronic, Folk, World, & Country, Stage & Screen",Soundtrack,52.58
Akira,akira,geinoh yamashirogumi akira,,1988,"28, 18, 9648","Electronic, Stage & Screen","Soundtrack, Modern Classical, Avantgarde, Experimental",52.58
Akira,akira,geinoh yamashirogumi akira,,1990,"28, 18, 9648","Electronic, Folk, World, & Country, Stage & Screen","Soundtrack, Anison, Score",52.58
Akira,akira,geinou yamashirogumi akira,,1994,"28, 18, 9648","Pop, Stage & Screen","Modern Classical, Experimental, Kayōkyoku, Avantgarde, Soundtrack, Anison",52.58
Akira,akira production report,geinoh yamashirogumi akira,1988,1988,99,"Electronic, Stage & Screen","Soundtrack, Modern Classical, Avantgarde, Experimental",43.74
Akira,akira production report,geinoh yamashirogumi akira,1988,1988,99,"Electronic, Stage & Screen","Soundtrack, Modern Classical, Avantgarde, Experimental",43.74
Akira,akira project,geinoh yamashirogumi akira,2014,2014,"878, 28","Electronic, Folk, World, & Country, Stage & Screen",Soundtrack,45.38
Akira,akira kankan,geinoh yamashirogumi akira,1989,1988,35,"Electronic, Stage & Screen","Soundtrack, Modern Classical, Avantgarde, Experimental",47.12
Akira,akira kankan,geinoh yamashirogumi akira,1989,1988,35,"Electronic, Stage & Screen","Soundtrack, Modern Classical, Avantgarde, Experimental",47.12
Akira,akira kankan,geinoh yamashirogumi akira,1989,1990,35,"Electronic, Folk, World, & Country, Stage & Screen","Soundtrack, Anison, Score",47.12
Akira,in love with and living within movies akira kurosawa and hayao miyazaki,geinou yamashirogumi akira,1993,1994,99,"Pop, Stage & Screen","Modern Classical, Experimental, Kayōkyoku, Avantgarde, Soundtrack, Anison",39.54
Aliens,aliens,james horner aliens,1986,1986,"28, 53, 878",Stage & Screen,Score,63.6
Aliens,aliens,james horner aliens,1986,1986,"28, 53, 878",Stage & Screen,Score,63.6
Aliens,aliens,james horner aliens,2016,2016,18,Stage & Screen,"Score, Soundtrack",63.6
Aliens,aliens,james horner aliens,2016,2015,18,Stage & Screen,Score,63.6
Aliens,aliens,james horner aliens,2014,2015,,Stage & Screen,Score,63.6
Aliens,aliens,james horner aliens,2021,2021,,Stage & Screen,Soundtrack,63.6
Aliens,aliens,james horner aliens,2017,2016,99,Stage & Screen,"Score, Soundtrack",63.6
Aliens,maybe aliens,james horner aliens,2017,2016,18,Stage & Screen,"Score, Soundtrack",63.5
Aliens,aliens gufors,james horner aliens,2017,2016,"10751, 35, 878",Stage & Screen,"Score, Soundtrack",62.7
Aliens,monsters vs aliens creature features,james horner aliens,2014,2015,16,Stage & Screen,Score,57.64
Alien,alien,jerry goldsmith alien,1979,1979,"27, 878","Classical, Stage & Screen","Soundtrack, Modern Classical, Score",56.92
Alien,alien,chrome alien soundtracks,,1977,878,"Electronic, Rock","Experimental, Punk",54.14
Alien,alien,chrome alien soundtracks,,1977,878,"Electronic, Rock","Experimental, Punk",54.14
Alien,alien,jerry goldsmith alien,,1979,878,"Classical, Stage & Screen","Soundtrack, Modern Classical, Score",56.92
Alien,alien,jerry goldsmith alien,,2017,878,Stage & Screen,"Soundtrack, Score",56.92
Alien,alien,chrome alien soundtracks,,2007,878,Rock,"Punk, Psychedelic Rock",54.14
Alien,alien,jerry goldsmith alien,2017,2017,878,Stage & Screen,"Soundtrack, Score",56.92
Alien,alien,jerry goldsmith alien,2017,2017,,Stage & Screen,"Soundtrack, Score",56.92
Alien,alien,jerry goldsmith alien,2017,2017,,Stage & Screen,"Soundtrack, Score",56.92
Alien,alien and me,jerry goldsmith alien,2016,2017,"35, 10402, 10749",Stage & Screen,"Soundtrack, Score",55.83
Alien,alien psychosis,jerry goldsmith alien,2018,2017,27,Stage & Screen,"Soundtrack, Score",50.0
Alien,alien on earth,jerry goldsmith alien,1980,1979,"27, 878","Classical, Stage & Screen","Soundtrack, Modern Classical, Score",51.79
Alien,maybe aliens,jerry goldsmith alien,2017,2017,18,Stage & Screen,"Soundtrack, Score",53.94
Alien,luis and the aliens,jerry goldsmith alien,2018,2017,"16, 10751",Stage & Screen,"Soundtrack, Score",57.79
Amélie,amelie,yann tiersen amelie,2001,2001,"35, 10749","Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",63.6
Amélie,amelie,yann tiersen amelie,2001,2001,"35, 10749","Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",63.6
Amélie,amelie,yann tiersen amelie,2001,,"35, 10749","Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",63.6
Amélie,amelie,yann tiersen amelie,2001,,"35, 10749","Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",63.6
Amélie,amelie,yann tiersen amelie,2001,,"35, 10749","Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",63.6
Amélie,amelie,yann tiersen amelie,2021,,,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",63.6
Amélie,amelie,yann tiersen amelie,2021,,,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",63.6
Amélie,amelie,yann tiersen amelie,2021,,,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",63.6
Amélie,little amelie or the character of rain,yann tiersen amelie,2025,,"16, 18, 10751","Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",51.26
Amélie,little amelie or the character of rain,yann tiersen amelie,2025,,"16, 18, 10751","Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",51.26
Amélie,little amelie or the character of rain,yann tiersen amelie,2025,,"16, 18, 10751","Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",51.26
Amélie,amelie the real story,yann tiersen amelie,2023,,35,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",52.9
Amélie,amelie the real story,yann tiersen amelie,2023,,35,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",52.9
