tmdb_id,discogs_id,tmdb_title,discogs_title,tmdb_year,discogs_year,token_score,partial_score,hybrid_score,year_diff
,,star is born,lady gaga bradley cooper star is born,2018.0,2018.0,48.97959183673469,100.0,64.29,0.0
,,star is born,lady gaga bradley cooper star is born,2018.0,2018.0,48.97959183673469,100.0,64.29,0.0
,,star is born,lady gaga bradley cooper star is born,2018.0,2018.0,48.97959183673469,100.0,64.29,0.0
,,star is born,lady gaga bradley cooper star is born,2018.0,2018.0,48.97959183673469,100.0,64.29,0.0
,,star is born,lady gaga bradley cooper star is born,2018.0,2019.0,48.97959183673469,100.0,64.29,1.0
,,12 years slave,hans zimmer 12 years slave,2013.0,2013.0,70.0,100.0,79.0,0.0
,,12 years slave,various 12 years slave,2013.0,2013.0,77.77777777777779,100.0,84.44,0.0
,,1917,thomas newman 1917,2019.0,2019.0,36.36363636363637,100.0,55.45,0.0
,,1917,thomas newman 1917,2019.0,2020.0,36.36363636363637,100.0,55.45,1.0
,,1917,thomas newman 1917,2019.0,2020.0,36.36363636363637,100.0,55.45,1.0
,,1917,thomas newman 1917,2019.0,2020.0,36.36363636363637,100.0,55.45,1.0
,,1917,thomas newman 1917,2019.0,2019.0,36.36363636363637,100.0,55.45,0.0
,,1917 the train from hell,thomas newman 1917,2019.0,2019.0,47.61904761904761,36.36363636363637,44.24,0.0
,,1917 the train from hell,thomas newman 1917,2019.0,2020.0,47.61904761904761,36.36363636363637,44.24,1.0
,,1917 the train from hell,thomas newman 1917,2019.0,2020.0,47.61904761904761,36.36363636363637,44.24,1.0
,,1917 the train from hell,thomas newman 1917,2019.0,2020.0,47.61904761904761,36.36363636363637,44.24,1.0
,,1917 the train from hell,thomas newman 1917,2019.0,2019.0,47.61904761904761,36.36363636363637,44.24,0.0
,,1917 the general strike,thomas newman 1917,2021.0,2020.0,53.65853658536586,40.0,49.56,1.0
,,1917 the general strike,thomas newman 1917,2021.0,2020.0,53.65853658536586,40.0,49.56,1.0
,,1917 the general strike,thomas newman 1917,2021.0,2020.0,53.65853658536586,40.0,49.56,1.0
,,unknown 1917,thomas newman 1917,2018.0,2019.0,53.333333333333336,69.56521739130434,58.2,1.0
,,unknown 1917,thomas newman 1917,2018.0,2019.0,53.333333333333336,69.56521739130434,58.2,1.0
,,allied forces making 1917,thomas newman 1917,2020.0,2019.0,46.51162790697675,64.51612903225806,51.91,1.0
,,allied forces making 1917,thomas newman 1917,2020.0,2020.0,46.51162790697675,64.51612903225806,51.91,0.0
,,allied forces making 1917,thomas newman 1917,2020.0,2020.0,46.51162790697675,64.51612903225806,51.91,0.0
,,allied forces making 1917,thomas newman 1917,2020.0,2020.0,46.51162790697675,64.51612903225806,51.91,0.0
,,allied forces making 1917,thomas newman 1917,2020.0,2019.0,46.51162790697675,64.51612903225806,51.91,1.0
,,1917 the real story,thomas newman 1917,2020.0,2019.0,54.054054054054056,37.5,49.09,1.0
,,1917 the real story,thomas newman 1917,2020.0,2020.0,54.054054054054056,37.5,49.09,0.0
,,1917 the real story,thomas newman 1917,2020.0,2020.0,54.054054054054056,37.5,49.09,0.0
,,1917 the real story,thomas newman 1917,2020.0,2020.0,54.054054054054056,37.5,49.09,0.0
,,1917 the real story,thomas newman 1917,2020.0,2019.0,54.054054054054056,37.5,49.09,1.0
,,ad astra,max richter lorne balfe nils frahm ad astra,2019.0,2019.0,31.372549019607842,100.0,51.96,0.0
,,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2019.0,2019.0,21.333333333333336,100.0,44.93,0.0
,,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2019.0,2019.0,21.333333333333336,100.0,44.93,0.0
,,ad astra,max richter lorne balfe nils frahm ad astra,2019.0,2019.0,31.372549019607842,100.0,51.96,0.0
,,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2019.0,2019.0,21.333333333333336,100.0,44.93,0.0
,,per aspera ad astra,max richter lorne balfe nils frahm ad astra,,2019.0,45.16129032258065,70.58823529411764,52.79,
,,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,,2019.0,32.55813953488372,70.58823529411764,43.97,
,,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,,2019.0,32.55813953488372,70.58823529411764,43.97,
,,per aspera ad astra,max richter lorne balfe nils frahm ad astra,,2019.0,45.16129032258065,70.58823529411764,52.79,
,,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,,2019.0,32.55813953488372,70.58823529411764,43.97,
,,ad astra,max richter lorne balfe nils frahm ad astra,2018.0,2019.0,31.372549019607842,100.0,51.96,1.0
,,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2018.0,2019.0,21.333333333333336,100.0,44.93,1.0
,,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2018.0,2019.0,21.333333333333336,100.0,44.93,1.0
,,ad astra,max richter lorne balfe nils frahm ad astra,2018.0,2019.0,31.372549019607842,100.0,51.96,1.0
,,ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2018.0,2019.0,21.333333333333336,100.0,44.93,1.0
,,per aspera ad astra,max richter lorne balfe nils frahm ad astra,2019.0,2019.0,45.16129032258065,70.58823529411764,52.79,0.0
,,per aspera ad astra,max richter additional music by lorne balfe and nils frahm ad astra,2019.0,2019.0,32.55813953488372,70.58823529411764,43.97,0.0
