title,primary_type,secondary_types,first_release_date,release_year
Spyro™ Reignited Trilogy,Album,Soundtrack,2023-09-01,2023
Dead Like Me,Album,Soundtrack,2010-05-25,2010
Spyro the Dragon 3: Year of the Dragon,Album,Soundtrack,2000-10-24,2000
Simpatico (Music From The Motion Picture),Album,Soundtrack,1999,1999
Spyro 2: Ripto’s Rage,Album,Soundtrack,1999,1999
Four Days in September,Album,Soundtrack,1998-01-30,1998
Little Boy Blue,Album,Soundtrack,1998,1998
Spyro the Dragon,Album,Soundtrack,1998,1998
The Leopard Son,Album,Soundtrack,1996,1996
Rapa Nui,Album,Soundtrack,1994-09-13,1994
Silent Fall,Album,Soundtrack,1994,1994
The Equalizer & Other Cliffhangers,Album,Soundtrack,1988,1988
Talk Radio / Wall Street,Album,Soundtrack,1988,1988
Wall Street / Salvador,Album,"Compilation, Soundtrack",1987,1987
Rumble Fish,Album,Soundtrack,1983,1983
