file,line,value,kind,context,status,proposed_name,best_match,similarity_score
step_00_acquire_musicbrainz.py,37,1024.0,unknown,"chunk_size = max(1024, CHUNK_SIZE)",New constant suggested,MAGIC_CONST_VAL,,0.0
step_00_acquire_musicbrainz.py,121,6.0,threshold,if len(parts) < 6:,New constant suggested,FUZZ_THRESHOLD_VAL,,0.0
step_01_audit_raw.py,46,1000000.0,row limit,csv.field_size_limit(1_000_000),New constant suggested,ROW_LIMIT_VAL,,0.0
step_01_audit_raw.py,61,30.0,unknown,"for row in self.progress_iter(reader, desc=tsv_path.name[:30], unit=""row"", leave=False):",New constant suggested,MAGIC_CONST_VAL,,0.0
step_02_cleanse_tsv.py,123,20.0,row limit,sample = df.head(20),New constant suggested,ROW_LIMIT_VAL,,0.0
step_02_cleanse_tsv.py,143,3.0,unknown,"metrics[""release_year_coverage""] = round(coverage, 3)",New constant suggested,MAGIC_CONST_VAL,,0.0
step_03b_rehydrate_guids.py,73,6.0,unknown,"ac = pd.read_csv(ac_path, sep=""\t"", header=None, low_memory=False, usecols=[0, 6])",New constant suggested,MAGIC_CONST_VAL,,0.0
step_03b_rehydrate_guids.py,102,100.0,unknown,"coverage_rg = release[""release_group_gid""].notna().mean() * 100",New constant suggested,MAGIC_CONST_VAL,,0.0
step_03b_rehydrate_guids.py,116,10.0,unknown,].head(10),New constant suggested,MAGIC_CONST_VAL,,0.0
step_03b_rehydrate_guids.py,122,40.0,unknown,"f""   id={row.get('id', '?')} | name={str(row.get('name', ''))[:40]} | """,New constant suggested,MAGIC_CONST_VAL,,0.0
step_03b_rehydrate_guids.py,130,2.0,unknown,"""coverage_release_group"": round(coverage_rg, 2),",New constant suggested,MAGIC_CONST_VAL,,0.0
step_04_mb_full_join.py,76,2.0,threshold,st_map = {r[0]: r[1] for r in rgst_rows if len(r) >= 2},New constant suggested,FUZZ_THRESHOLD_VAL,,0.0
step_04_mb_full_join.py,122,5.0,threshold,if len(row) < 5:,New constant suggested,FUZZ_THRESHOLD_VAL,,0.0
step_04_mb_full_join.py,126,3.0,threshold,artist_credit_id = row[3] if len(row) > 3 else None,New constant suggested,FUZZ_THRESHOLD_VAL,,0.0
step_04_mb_full_join.py,127,4.0,threshold,release_group_id = row[4] if len(row) > 4 else None,New constant suggested,FUZZ_THRESHOLD_VAL,,0.0
