file,line,value,context,kind,suggestion
step_00_acquire_musicbrainz.py,37,1024.0,"chunk_size = max(1024, CHUNK_SIZE)",unknown,
step_00_acquire_musicbrainz.py,121,6.0,if len(parts) < 6:,threshold,FUZZ_THRESHOLD
step_01_audit_raw.py,46,1000000.0,csv.field_size_limit(1_000_000),row limit,ROW_LIMIT
step_01_audit_raw.py,61,30.0,"for row in self.progress_iter(reader, desc=tsv_path.name[:30], unit=""row"", leave=False):",unknown,
step_02_cleanse_tsv.py,43,1000000.0,csv.field_size_limit(1_000_000),row limit,ROW_LIMIT
step_02_cleanse_tsv.py,123,20.0,sample = df.head(20),row limit,ROW_LIMIT
step_02_cleanse_tsv.py,143,3.0,"metrics[""release_year_coverage""] = round(coverage, 3)",unknown,
step_02_cleanse_tsv.py,147,3.0,self.logger.info(df.head(3).to_string()),unknown,
step_03_util_check_tsv_structure.py,36,1000000.0,csv.field_size_limit(1_000_000),row limit,ROW_LIMIT
step_03b_rehydrate_guids.py,45,1000000.0,csv.field_size_limit(1_000_000),row limit,ROW_LIMIT
step_03b_rehydrate_guids.py,73,6.0,"ac = pd.read_csv(ac_path, sep=""\t"", header=None, low_memory=False, usecols=[0, 6])",unknown,
step_03b_rehydrate_guids.py,78,6.0,"ac_map = dict(zip(ac[0].astype(str), ac[6]))",unknown,
step_03b_rehydrate_guids.py,102,100.0,"coverage_rg = release[""release_group_gid""].notna().mean() * 100",unknown,
step_03b_rehydrate_guids.py,103,100.0,"coverage_ac = release[""artist_credit_gid""].notna().mean() * 100",unknown,
step_03b_rehydrate_guids.py,116,10.0,].head(10),unknown,
step_03b_rehydrate_guids.py,122,40.0,"f""   id={row.get('id', '?')} | name={str(row.get('name', ''))[:40]} | """,unknown,
step_03b_rehydrate_guids.py,130,2.0,"""coverage_release_group"": round(coverage_rg, 2),",unknown,
step_03b_rehydrate_guids.py,131,2.0,"""coverage_artist_credit"": round(coverage_ac, 2),",unknown,
