2025-06-02 22:45:58,723 [INFO] Initialized step: 06_Fetch_TMDb
2025-06-02 22:45:58,723 [INFO] ▶ Fetching top 1,000 TMDb movies…
2025-06-02 22:45:59,067 [INFO]    • Page 1, collected 20 total
2025-06-02 22:45:59,164 [INFO]    • Page 2, collected 40 total
2025-06-02 22:45:59,257 [INFO]    • Page 3, collected 60 total
2025-06-02 22:45:59,348 [INFO]    • Page 4, collected 80 total
2025-06-02 22:45:59,428 [INFO]    • Page 5, collected 100 total
2025-06-02 22:45:59,505 [INFO]    • Page 6, collected 120 total
2025-06-02 22:45:59,585 [INFO]    • Page 7, collected 140 total
2025-06-02 22:45:59,674 [INFO]    • Page 8, collected 160 total
2025-06-02 22:45:59,758 [INFO]    • Page 9, collected 180 total
2025-06-02 22:45:59,857 [INFO]    • Page 10, collected 200 total
2025-06-02 22:45:59,941 [INFO]    • Page 11, collected 220 total
2025-06-02 22:46:00,022 [INFO]    • Page 12, collected 240 total
2025-06-02 22:46:00,118 [INFO]    • Page 13, collected 260 total
2025-06-02 22:46:00,211 [INFO]    • Page 14, collected 280 total
2025-06-02 22:46:00,311 [INFO]    • Page 15, collected 300 total
2025-06-02 22:46:00,402 [INFO]    • Page 16, collected 320 total
2025-06-02 22:46:00,515 [INFO]    • Page 17, collected 340 total
2025-06-02 22:46:00,600 [INFO]    • Page 18, collected 360 total
2025-06-02 22:46:00,684 [INFO]    • Page 19, collected 380 total
2025-06-02 22:46:00,773 [INFO]    • Page 20, collected 400 total
2025-06-02 22:46:00,861 [INFO]    • Page 21, collected 420 total
2025-06-02 22:46:00,946 [INFO]    • Page 22, collected 440 total
2025-06-02 22:46:01,034 [INFO]    • Page 23, collected 460 total
2025-06-02 22:46:01,118 [INFO]    • Page 24, collected 480 total
2025-06-02 22:46:01,206 [INFO]    • Page 25, collected 500 total
2025-06-02 22:46:01,295 [INFO]    • Page 26, collected 520 total
2025-06-02 22:46:01,387 [INFO]    • Page 27, collected 540 total
2025-06-02 22:46:01,479 [INFO]    • Page 28, collected 560 total
2025-06-02 22:46:01,560 [INFO]    • Page 29, collected 580 total
2025-06-02 22:46:01,644 [INFO]    • Page 30, collected 600 total
2025-06-02 22:46:01,740 [INFO]    • Page 31, collected 620 total
2025-06-02 22:46:01,828 [INFO]    • Page 32, collected 640 total
2025-06-02 22:46:01,916 [INFO]    • Page 33, collected 660 total
2025-06-02 22:46:02,000 [INFO]    • Page 34, collected 680 total
2025-06-02 22:46:02,089 [INFO]    • Page 35, collected 700 total
2025-06-02 22:46:02,181 [INFO]    • Page 36, collected 720 total
2025-06-02 22:46:02,269 [INFO]    • Page 37, collected 740 total
2025-06-02 22:46:02,361 [INFO]    • Page 38, collected 760 total
2025-06-02 22:46:02,443 [INFO]    • Page 39, collected 780 total
2025-06-02 22:46:02,536 [INFO]    • Page 40, collected 800 total
2025-06-02 22:46:02,640 [INFO]    • Page 41, collected 820 total
2025-06-02 22:46:02,726 [INFO]    • Page 42, collected 840 total
2025-06-02 22:46:02,817 [INFO]    • Page 43, collected 860 total
2025-06-02 22:46:02,905 [INFO]    • Page 44, collected 880 total
2025-06-02 22:46:02,988 [INFO]    • Page 45, collected 900 total
2025-06-02 22:46:03,080 [INFO]    • Page 46, collected 920 total
2025-06-02 22:46:03,193 [INFO]    • Page 47, collected 940 total
2025-06-02 22:46:03,275 [INFO]    • Page 48, collected 960 total
2025-06-02 22:46:03,384 [INFO]    • Page 49, collected 980 total
2025-06-02 22:46:03,484 [INFO]    • Page 50, collected 1000 total
2025-06-02 22:46:03,579 [INFO] ✅ Wrote 1000 rows to D:\Capstone_Staging\data\tmdb\enriched_top_1000.csv
